,index,product_name,price,made_in,standard_soc_ma,algodon,poliester,elastano,elastomultiester,liocel,lino,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,rec_poliester,rec_cotton,cotton_OCS,certificacion,porcentaje,intertek
264,15,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
265,16,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
266,17,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
267,18,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
268,19,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
269,20,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
270,21,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
271,22,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
272,23,Jean Temporada,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
273,24,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,0.6,OCS,0.6,True
274,25,Jean Rectos,59.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
275,26,Jean Temporada,35.95,Turquia,True,0.42,,,,0.58,,liocel,2,0.58,algodon,0.42,None,None,,,,,,,False
276,27,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.15,,OCS,,True
277,28,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.22,0.78,OCS,0.78,True
278,29,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
279,30,Jean Temporada,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
280,31,Jean Temporada,25.95,Turquia,True,0.92,0.06,0.02,,,,algodon,3,0.92,poliester,0.06,OCS,RCS,,,0.25,0.67,OCS,0.67,True
281,32,Jean Temporada,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
282,33,Jean Temporada,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
283,34,Jean Temporada,39.95,Bangladesh,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,None,,,,,,,False
284,35,Jean Temporada,35.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
285,36,Jean Wide Leg,49.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
286,37,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
287,38,Jean Temporada,35.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.3,0.3,OCS,0.3,True
288,39,Jean ZW Collection,29.95,Egipto,True,0.82,0.17,0.01,,,,algodon,3,0.82,poliester,0.17,OCS,RCS,,0.17,,0.82,OCS,0.82,True
289,40,Jean Temporada,29.95,Turquia,True,0.98,,0.02,,,,algodon,2,0.98,elastano,0.02,None,None,,,,,,,False
290,41,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,1.0,OCS,1.0,True
291,42,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
292,43,Jean Temporada,29.95,Marruecos,True,0.98,,0.02,,,,algodon,2,0.98,elastano,0.02,OCS,None,,,,0.98,OCS,0.98,True
293,44,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
294,45,Jean Temporada,39.95,Turquia,True,0.8,,,,0.2,,algodon,2,0.8,liocel,0.2,None,RCS,,,0.2,,OCS,,True
295,46,Jean Temporada,39.95,Bangladesh,True,0.8,,,,0.2,,algodon,2,0.8,liocel,0.2,None,None,,,,,,,False
296,47,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
297,48,Jean Wide Leg,49.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
298,49,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
299,50,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
300,51,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
301,52,Jean Rectos,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
302,53,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.15,0.6,OCS,0.6,True
303,54,Jean Mom,25.95,Pakistan,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,OCS,RCS,,,0.2,0.79,OCS,0.79,True
304,55,Jean Wide Leg,29.95,Turquia,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
305,56,Jean Wide Leg,29.95,Turquia,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
306,57,Jean Mom,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
307,58,Jean Mom,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
308,59,Jean Rectos,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
309,60,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
311,62,Jean Temporada,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
312,63,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
313,64,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
314,65,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.51,OCS,0.51,True
315,66,Jean Temporada,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,None,,,,,,,False
316,67,Jean Temporada,39.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
317,68,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
318,69,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
319,70,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
320,71,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
321,72,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
322,73,Jean Temporada,29.95,Pakistan,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,0.6,OCS,0.6,True
323,74,Jean Mom,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
324,75,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
325,76,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
326,77,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
327,78,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.22,0.78,OCS,0.78,True
328,79,Jean Skinny,19.95,Pakistan,True,0.89,0.08,0.03,,,,algodon,3,0.89,poliester,0.08,OCS,RCS,,,0.15,0.6,OCS,0.6,True
329,80,Jean Skinny,19.95,Pakistan,True,0.89,0.08,0.03,,,,algodon,3,0.89,poliester,0.08,OCS,RCS,,,0.15,0.6,OCS,0.6,True
330,81,Jean ZW Collection,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
331,82,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
332,83,Jean Rectos,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.5,OCS,0.5,True
333,84,Jean Rectos,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.5,OCS,0.5,True
334,85,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.22,0.78,OCS,0.78,True
335,86,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
336,87,Jean Temporada,35.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.3,0.3,OCS,0.3,True
337,88,Jean Rectos,59.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.15,,OCS,,True
338,89,Jean ZW Collection,39.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
339,90,Jean Rectos,39.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
340,91,Jean Temporada,39.95,Pakistan,True,0.98,,0.02,,,,algodon,2,0.98,elastano,0.02,None,None,,,,,,,False
341,92,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
342,93,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
343,94,Jean ZW Collection,29.95,Egipto,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,1.0,OCS,1.0,True
344,95,Jean ZW Collection,29.95,Turquia,True,0.92,0.06,0.02,,,,algodon,3,0.92,poliester,0.06,OCS,RCS,,,0.2,0.72,OCS,0.72,True
345,96,Jean ZW Collection,29.95,Egipto,True,0.94,,0.02,0.04,,,algodon,3,0.94,elastomultiester,0.04,None,None,,,,,,,False
346,97,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
347,98,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
348,99,Jean ZW Collection,39.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
349,100,Jean ZW Collection,39.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
350,101,Jean ZW Collection,39.95,Pakistan,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
351,102,Jean Temporada,35.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
352,103,Jean Wide Leg,35.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
353,104,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
354,105,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
355,106,Jean Temporada,59.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
356,107,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
357,108,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,0.5,OCS,0.5,True
358,109,Jean Rectos,29.95,Egipto,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
359,110,Jean Wide Leg,39.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,None,,,,,,,False
360,111,Jean ZW Collection,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,1.0,OCS,1.0,True
361,112,Jean ZW Collection,39.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
362,113,Jean Skinny,22.95,Bangladesh,True,0.89,0.08,0.03,,,,algodon,3,0.89,poliester,0.08,OCS,RCS,,,0.15,0.6,OCS,0.6,True
363,114,Jean ZW Collection,29.95,Pakistan,True,0.93,,0.02,0.05,,,algodon,3,0.93,elastomultiester,0.05,OCS,None,,,,0.51,OCS,0.51,True
364,115,Jean ZW Collection,29.95,Tunez,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
365,116,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
366,117,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
367,118,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
368,119,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
369,120,Jean ZW Collection,29.95,Pakistan,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,OCS,RCS,,,0.2,0.79,OCS,0.79,True
370,121,Jean ZW Collection,29.95,Egipto,True,0.92,,0.02,0.06,,,algodon,3,0.92,elastomultiester,0.06,None,None,,,,,,,False
371,122,Jean ZW Collection,29.95,Tunez,True,0.91,0.07,0.02,,,,algodon,3,0.91,poliester,0.07,None,RCS,,,0.2,,OCS,,True
372,123,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
373,124,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
374,125,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
375,126,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
376,127,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
377,128,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
378,129,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
379,130,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
380,131,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
381,132,Jean Rectos,29.95,Egipto,True,0.88,,,,,0.12,algodon,2,0.88,lino,0.12,OCS,None,,,,0.88,OCS,0.88,True
382,133,Jean Rectos,29.95,Egipto,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
383,134,Jean Rectos,29.95,Egipto,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
384,135,Jean Temporada,39.95,Bangladesh,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,OCS,None,,,,0.64,OCS,0.64,True
385,136,Jean Temporada,39.95,Bangladesh,True,0.72,,,,0.28,,algodon,2,0.72,liocel,0.28,OCS,RCS,,,0.12,0.6,OCS,0.6,True
386,137,Jean Temporada,39.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
387,138,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
388,139,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
389,140,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
390,141,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
391,142,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
392,143,Jean Temporada,39.95,Bangladesh,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,OCS,None,,,,0.64,OCS,0.64,True
393,144,Jean Temporada,35.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
394,145,Jean ZW Collection,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,1.0,OCS,1.0,True
395,146,Jean ZW Collection,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,1.0,OCS,1.0,True
396,147,Jean ZW Collection,29.95,Pakistan,True,0.98,,0.02,,,,algodon,2,0.98,elastano,0.02,OCS,None,,,,0.5,OCS,0.5,True
397,148,Jean ZW Collection,29.95,Pakistan,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.25,0.75,OCS,0.75,True
398,149,Jean Temporada,29.95,Tunez,True,0.91,0.07,0.02,,,,algodon,3,0.91,poliester,0.07,None,RCS,,,0.2,,OCS,,True
399,150,Jean ZW Collection,29.95,Pakistan,True,0.98,,0.02,,,,algodon,2,0.98,elastano,0.02,None,None,,,,,,,False
