,index,product_name,price,made_in,standard_soc_ma,algodon,poliamida,elastano,lino,viscosa,poliester,modal,otras,liocel,fibra,acrilico,lana,seda,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,intertek
143,143,Camiseta Temporada,12.95,Portugal,True,,,,,,1.0,,,,,,,,poliester,1,1.0,,,,,,,,,,,,None,,False
144,144,Camiseta Poliamida,8.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
145,145,Camiseta Poliamida,9.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.71,,,RCS,0.71,True
146,146,Camiseta Oversize,15.95,Marruecos,True,0.89,,,,,0.11,,,,,,,,algodon,2,0.89,poliester,0.11,,,,,,,,,,None,,False
147,147,Sudadera,19.95,Marruecos,True,0.85,,,,0.01,0.14,,,,,,,,algodon,3,0.85,poliester,0.14,,,,,,,,,,None,,False
148,148,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
149,149,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
150,150,Camiseta Temporada,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
151,151,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
152,152,Camiseta Temporada,12.95,Marruecos,True,,,,,,,1.0,,,,,,,modal,1,1.0,,,,,,,,,,,,None,,False
153,153,Camiseta Algodon Enzimatico,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
154,154,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
155,155,Camiseta Temporada,12.95,Marruecos,True,0.96,,0.04,,,,,,,,,,,algodon,2,0.96,elastano,0.04,,,,,,,,,,None,,False
156,156,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
157,157,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
158,158,Camiseta Temporada,15.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
159,159,Camiseta Temporada,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
160,160,Top Crop,5.95,Turquia,True,,,0.04,,0.96,,,,,,,,,viscosa,2,0.96,elastano,0.04,,,,,,,,,,None,,False
161,161,Camiseta Temporada,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
162,162,Camiseta Temporada,12.95,Marruecos,True,,,0.02,,,,0.98,,,,,,,modal,2,0.98,elastano,0.02,,,,,,,,,,None,,False
163,163,Camiseta Algodon Basica,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
164,164,Sudadera,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
165,165,Camiseta Poliamida,8.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
166,166,Camiseta Temporada,17.95,Marruecos,True,,,,,,1.0,,,,,,,,poliester,1,1.0,,,,RCS,poliester ,,0.46,,,,,None,,True
167,167,Camiseta Temporada,17.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
168,168,Sudadera,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
170,170,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
171,171,Top Crop,9.95,Portugal,True,0.96,,0.04,,,,,,,,,,,algodon,2,0.96,elastano,0.04,,,,,,,,,,None,,False
172,172,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
173,173,Camiseta Algodon Basica,9.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
174,174,Camiseta Temporada,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
175,175,Camiseta Temporada,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
176,176,Sudadera,22.95,Turquia,True,0.8,,,,,0.2,,,,,,,,algodon,2,0.8,poliester,0.2,,,,,,,,,,None,,False
177,177,Camiseta Temporada,5.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
178,178,Camiseta Algodon Basica,9.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
180,180,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
181,181,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
182,182,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
183,183,Camiseta Algodon Basica,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
184,184,Camiseta Temporada,17.95,Portugal,True,0.49,,,,,0.51,,,,,,,,poliester,2,0.51,algodon,0.49,,RCS,algodon ,,,0.16,,,,OCS,,True
185,185,Camiseta Rib,4.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
186,186,Camiseta Rib,8.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
187,187,Sudadera,17.95,Pakistan,True,0.84,,0.06,,,0.1,,,,,,,,algodon,3,0.84,poliester,0.1,,RCS,algodon ,,,0.15,,,,OCS,,True
188,188,Camiseta Temporada,15.95,China,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,RCS,algodon ,,,0.2,,,,OCS,,True
189,189,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
190,190,Camiseta Temporada,12.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,OCS,,,0.95,,,,,,OCS,0.95,True
191,191,Camiseta Oversize,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
192,192,Camiseta Temporada,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
193,193,Camiseta Temporada,15.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
194,194,Sudadera,17.95,Pakistan,True,0.84,,0.06,,,0.1,,,,,,,,algodon,3,0.84,poliester,0.1,,RCS,algodon ,,,0.15,,,,OCS,,True
195,195,Camiseta Temporada,15.95,Portugal,True,,,,0.3,0.7,,,,,,,,,viscosa,2,0.7,lino,0.3,,,,,,,,,,None,,False
196,196,Camiseta Temporada,17.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
197,197,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
198,198,Camiseta Poliamida,9.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.71,,,RCS,0.71,True
199,199,Sudadera,17.95,Pakistan,True,0.84,,0.06,,,0.1,,,,,,,,algodon,3,0.84,poliester,0.1,,RCS,algodon ,,,0.15,,,,OCS,,True
200,200,Camiseta Temporada,17.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
201,201,Camiseta Temporada,17.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
202,202,Camiseta Algodon Basica,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
203,203,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
204,204,Camiseta Temporada,15.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
205,205,Camiseta Temporada,22.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
206,206,Camiseta Poliamida,7.95,Bangladesh,True,,0.9,0.1,,,,,,,,,,,poliamida,2,0.9,elastano,0.1,,,poliamida ,,,,0.5,,,RCS,0.5,True
207,207,Camiseta Algodon Enzimatico,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
208,208,Camiseta Oversize,22.95,Marruecos,True,0.99,,0.01,,,,,,,,,,,algodon,2,0.99,elastano,0.01,,,,,,,,,,None,,False
209,209,Camiseta Temporada,12.95,India,True,0.8,,,,,,,,0.2,,,,,algodon,2,0.8,liocel,0.2,OCS,,,0.8,,,,,,OCS,0.8,True
210,210,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
211,211,Camiseta Rib,8.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
212,212,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,0.5,,,,,,OCS,0.5,True
213,213,Camiseta Temporada,5.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
214,214,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
215,215,Camiseta Temporada,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
216,216,Camiseta Temporada,15.95,Marruecos,True,0.88,,,,0.12,,,,,,,,,algodon,2,0.88,viscosa,0.12,,,,,,,,,,None,,False
217,217,Sudadera,22.95,Marruecos,True,0.79,,,,,0.21,,,,,,,,algodon,2,0.79,poliester,0.21,OCS,RCS,algodon ,0.34,,0.28,,,,OCS,0.34,True
218,218,Camiseta Algodon Basica,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
219,219,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
220,220,Camiseta Rib,4.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
221,221,Camiseta Temporada,9.95,Marruecos,True,0.97,,0.03,,,,,,,,,,,algodon,2,0.97,elastano,0.03,,,,,,,,,,None,,False
222,222,Camiseta Algodon Basica,15.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
223,223,Camiseta Algodon Basica,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
224,224,Camiseta Algodon Basica,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
225,225,Camiseta Algodon Basica,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
226,226,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
227,227,Camiseta Temporada,17.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
228,228,Camiseta Temporada,12.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
229,229,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
230,230,Top Crop,5.95,Turquia,True,,,0.04,,0.96,,,,,,,,,viscosa,2,0.96,elastano,0.04,,,,,,,,,,None,,False
231,231,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
232,232,Camiseta Algodon Basica,9.95,Portugal,True,0.96,,0.04,,,,,,,,,,,algodon,2,0.96,elastano,0.04,,,,,,,,,,None,,False
233,233,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
234,234,Camiseta Temporada,12.95,Marruecos,True,0.84,,0.06,,,0.1,,,,,,,,algodon,3,0.84,elastano,0.06,,,,,,,,,,None,,False
235,235,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
236,236,Camiseta Temporada,12.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
237,237,Top Crop,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,OCS,,,0.95,,,,,,OCS,0.95,True
238,238,Camiseta Temporada,9.95,Turquia,True,,,0.05,,0.95,,,,,,,,,viscosa,2,0.95,elastano,0.05,,,,,,,,,,None,,False
239,239,Camiseta Rib,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
240,240,Camiseta Temporada,12.95,Marruecos,True,,,,,,,,,1.0,,,,,liocel,1,1.0,,,,,,,,,,,,None,,False
241,241,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
242,242,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
243,243,Sudadera,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
244,244,Top Crop,5.95,Turquia,True,,,0.04,,0.96,,,,,,,,,viscosa,2,0.96,elastano,0.04,,,,,,,,,,None,,False
245,245,Camiseta Temporada,12.95,Marruecos,True,,,,,,,,,1.0,,,,,liocel,1,1.0,,,,,,,,,,,,None,,False
246,246,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
247,247,Camiseta Temporada,15.95,Marruecos,True,0.36,,,,,0.64,,0.05,,,,,,poliester,3,0.64,algodon,0.36,,RCS,algodon ,,0.64,0.36,,,,OCS,,True
248,248,Camiseta Temporada,15.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
249,249,Camiseta Temporada,5.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
250,250,Camiseta Temporada,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
251,251,Camiseta Temporada,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
252,252,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
253,253,Camiseta Rib,9.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
254,254,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
255,255,Camiseta Temporada,22.95,Turquia,True,0.47,,,,,0.53,,,,,,,,poliester,2,0.53,algodon,0.47,,RCS,algodon ,,,0.47,,,,OCS,,True
256,256,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
257,257,Camiseta Oversize,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
258,258,Camiseta Oversize,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
259,259,Camiseta Temporada,15.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
260,260,Camiseta Temporada,15.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,RCS,algodon ,,,0.2,,,,OCS,,True
261,261,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
262,262,Camiseta Poliamida,8.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.47,,,RCS,0.47,True
263,263,Camiseta Temporada,12.95,Bangladesh,True,0.91,,0.09,,,,,,,,,,,algodon,2,0.91,elastano,0.09,OCS,,,0.91,,,,,,OCS,0.91,True
264,264,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
265,265,Camiseta Rib,12.95,Turquia,True,0.94,,0.06,,,,,,,,,,,algodon,2,0.94,elastano,0.06,,,,,,,,,,None,,False
266,266,Camiseta Temporada,12.95,Marruecos,True,,,0.02,,,,0.98,,,,,,,modal,2,0.98,elastano,0.02,,,,,,,,,,None,,False
267,267,Camiseta Temporada,12.95,Turquia,True,,,0.06,,,0.94,,,,,,,,poliester,2,0.94,elastano,0.06,,RCS,poliester ,,0.5,,,,,None,,True
268,268,Camiseta Temporada,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,RCS,algodon ,,,0.25,,,,OCS,,True
269,269,Camiseta Poliamida,9.95,Turquia,True,,0.93,0.07,,,,,,,,,,,poliamida,2,0.93,elastano,0.07,,,poliamida ,,,,0.5,,,RCS,0.5,True
270,270,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
271,271,Camiseta Temporada,15.95,Portugal,True,0.69,,,0.31,,,,,,,,,,algodon,2,0.69,lino,0.31,,,,,,,,,,None,,False
272,272,Sudadera,17.95,Pakistan,True,0.84,,0.06,,,0.1,,,,,,,,algodon,3,0.84,poliester,0.1,,RCS,algodon ,,,0.15,,,,OCS,,True
273,273,Camiseta Temporada,17.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
274,274,Camiseta Temporada,17.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
275,275,Camiseta Algodon Basica,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
276,276,Camiseta Oversize,15.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
277,277,Camiseta Temporada,22.95,Marruecos,True,0.58,,,,,0.42,,,,,,,,algodon,2,0.58,poliester,0.42,,RCS,algodon ,,0.42,0.58,,,,OCS,,True
278,278,Camiseta Algodon Basica,9.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
279,279,Camiseta Algodon Basica,9.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
280,280,Camiseta Poliamida,9.95,Turquia,True,,0.93,0.07,,,,,,,,,,,poliamida,2,0.93,elastano,0.07,,,poliamida ,,,,0.5,,,RCS,0.5,True
281,281,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
282,282,Camiseta Temporada,12.95,India,True,0.8,,,,,,,,0.2,,,,,algodon,2,0.8,liocel,0.2,OCS,,,0.8,,,,,,OCS,0.8,True
283,283,Sudadera,22.95,Turquia,True,0.8,,,,,0.2,,,,,,,,algodon,2,0.8,poliester,0.2,,,,,,,,,,None,,False
284,284,Camiseta Temporada,15.95,Turquia,True,0.82,,,,,0.18,,,,,,,,algodon,2,0.82,poliester,0.18,,RCS,algodon ,,,0.16,,,,OCS,,True
285,285,Camiseta Temporada,17.95,Bangladesh,True,0.8,,,,,0.2,,,,,,,,algodon,2,0.8,poliester,0.2,,,,,,,,,,None,,False
286,286,Camiseta Algodon Basica,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
287,287,Camiseta Heavy Cotton,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
288,288,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
289,289,Camiseta Temporada,15.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,RCS,algodon ,,,0.2,,,,OCS,,True
